"TIME","GEO","GEO_LABEL","AGE","UNIT","SEX","Value"
"2002","FI","Finland","Total","Percentage of active population","Total","9.1"
"2002","SE","Sweden","Total","Percentage of active population","Total","6.0"
"2002","UK","United Kingdom","Total","Percentage of active population","Total","5.1"
"2002","IS","Iceland","Total","Percentage of active population","Total",":"
"2002","NO","Norway","Total","Percentage of active population","Total","3.7"
"2002","TR","Turkey","Total","Percentage of active population","Total",":"
"2003","BE","Belgium","Total","Percentage of active population","Total","8.2"
"2003","BG","Bulgaria","Total","Percentage of active population","Total","13.7"
"2003","CZ","Czech Republic","Total","Percentage of active population","Total","7.8"
"2003","DK","Denmark","Total","Percentage of active population","Total","5.4"
"2003","DE","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","9.7"
"2003","EE","Estonia","Total","Percentage of active population","Total","10.3"
"2003","IE","Ireland","Total","Percentage of active population","Total","4.6"
"2003","EL","Greece","Total","Percentage of active population","Total","9.7"
"2003","ES","Spain","Total","Percentage of active population","Total","11.5"
"2003","FR","France","Total","Percentage of active population","Total","8.5"
"2003","HR","Croatia","Total","Percentage of active population","Total","14.1"
"2003","IT","Italy","Total","Percentage of active population","Total","8.4"
"2003","CY","Cyprus","Total","Percentage of active population","Total","4.1"
"2003","LV","Latvia","Total","Percentage of active population","Total","11.6"
"2003","LT","Lithuania","Total","Percentage of active population","Total","12.4"
"2003","LU","Luxembourg","Total","Percentage of active population","Total","3.8"
"2003","HU","Hungary","Total","Percentage of active population","Total","5.8"
"2003","MT","Malta","Total","Percentage of active population","Total","7.6"
"2003","NL","Netherlands","Total","Percentage of active population","Total","4.8"
"2003","AT","Austria","Total","Percentage of active population","Total","4.8"
"2003","PL","Poland","Total","Percentage of active population","Total","19.8"
"2003","PT","Portugal","Total","Percentage of active population","Total","7.4"
"2003","RO","Romania","Total","Percentage of active population","Total","7.7"
"2003","SI","Slovenia","Total","Percentage of active population","Total","6.7"
"2003","SK","Slovakia","Total","Percentage of active population","Total","17.7"
"2003","FI","Finland","Total","Percentage of active population","Total","9.0"
"2003","SE","Sweden","Total","Percentage of active population","Total","6.6"
"2003","UK","United Kingdom","Total","Percentage of active population","Total","5.0"
"2003","IS","Iceland","Total","Percentage of active population","Total","3.3"
