"TIME","GEO","SEX","AGE","CITIZEN","UNIT","Value"
"1997","MK","T","Y15-74","TOTAL","PC",":"
"1997","TR","T","Y15-74","TOTAL","PC",":"
"1998","BE","T","Y15-74","TOTAL","PC","9.3"
"1998","BG","T","Y15-74","TOTAL","PC",":"
"1998","CZ","T","Y15-74","TOTAL","PC","5.9"
"1998","DK","T","Y15-74","TOTAL","PC","5.0"
"1998","DE","T","Y15-74","TOTAL","PC","9.8"
"1998","EE","T","Y15-74","TOTAL","PC","9.5"
"1998","IE","T","Y15-74","TOTAL","PC","7.7"
"1998","EL","T","Y15-74","TOTAL","PC","10.9"
"1998","ES","T","Y15-74","TOTAL","PC","18.7"
"1998","FR","T","Y15-74","TOTAL","PC","12.1"
"1998","HR","T","Y15-74","TOTAL","PC",":"
"1998","IT","T","Y15-74","TOTAL","PC","12.1"
"1998","CY","T","Y15-74","TOTAL","PC",":"
"1998","LV","T","Y15-74","TOTAL","PC","14.5"
"1998","LT","T","Y15-74","TOTAL","PC","13.7"
"1998","LU","T","Y15-74","TOTAL","PC","2.8"
"1998","HU","T","Y15-74","TOTAL","PC","8.9"
"1998","MT","T","Y15-74","TOTAL","PC",":"
"1998","NL","T","Y15-74","TOTAL","PC","4.4"
"1998","AT","T","Y15-74","TOTAL","PC","5.5"
"1998","PL","T","Y15-74","TOTAL","PC","10.0"
"1998","PT","T","Y15-74","TOTAL","PC","4.7"
"1998","RO","T","Y15-74","TOTAL","PC","5.7"
"1998","SI","T","Y15-74","TOTAL","PC","7.4"
"1998","SK","T","Y15-74","TOTAL","PC","12.2"
"1998","FI","T","Y15-74","TOTAL","PC","13.2"
"1998","SE","T","Y15-74","TOTAL","PC","8.9"
"1998","UK","T","Y15-74","TOTAL","PC","6.2"
"1998","IS","T","Y15-74","TOTAL","PC","3.1"
"1998","NO","T","Y15-74","TOTAL","PC","3.7"
"1998","CH","T","Y15-74","TOTAL","PC","3.6"
"1998","MK","T","Y15-74","TOTAL","PC",":"
"1998","TR","T","Y15-74","TOTAL","PC",":"
"1999","BE","T","Y15-74","TOTAL","PC","8.7"
"1999","BG","T","Y15-74","TOTAL","PC",":"
"1999","CZ","T","Y15-74","TOTAL","PC","8.5"
"1999","DK","T","Y15-74","TOTAL","PC","5.1"
"1999","DE","T","Y15-74","TOTAL","PC","8.9"
"1999","EE","T","Y15-74","TOTAL","PC","11.6"
"1999","IE","T","Y15-74","TOTAL","PC","5.8"
"1999","EL","T","Y15-74","TOTAL","PC","11.9"
"1999","ES","T","Y15-74","TOTAL","PC","15.5"
"1999","FR","T","Y15-74","TOTAL","PC","12.0"
"1999","HR","T","Y15-74","TOTAL","PC",":"
"1999","IT","T","Y15-74","TOTAL","PC","11.7"
"1999","CY","T","Y15-74","TOTAL","PC",":"
"1999","LV","T","Y15-74","TOTAL","PC","13.8"
"1999","LT","T","Y15-74","TOTAL","PC","13.4"
"1999","LU","T","Y15-74","TOTAL","PC","2.4"
"1999","HU","T","Y15-74","TOTAL","PC","6.9"
"1999","MT","T","Y15-74","TOTAL","PC",":"
"1999","NL","T","Y15-74","TOTAL","PC","3.6"
"1999","AT","T","Y15-74","TOTAL","PC","4.7"
"1999","PL","T","Y15-74","TOTAL","PC","12.3"
"1999","PT","T","Y15-74","TOTAL","PC","4.7"
"1999","RO","T","Y15-74","TOTAL","PC","6.4"
"1999","SI","T","Y15-74","TOTAL","PC","7.4"
"1999","SK","T","Y15-74","TOTAL","PC","15.9"
"1999","FI","T","Y15-74","TOTAL","PC","11.7"
"1999","SE","T","Y15-74","TOTAL","PC","7.6"
"1999","UK","T","Y15-74","TOTAL","PC","6.1"
"1999","IS","T","Y15-74","TOTAL","PC","2.2"
"1999","NO","T","Y15-74","TOTAL","PC","3.2"
"1999","CH","T","Y15-74","TOTAL","PC","3.1"
"1999","MK","T","Y15-74","TOTAL","PC",":"
"1999","TR","T","Y15-74","TOTAL","PC",":"
"2000","BE","T","Y15-74","TOTAL","PC","6.6"
"2000","BG","T","Y15-74","TOTAL","PC","16.2"
"2000","CZ","T","Y15-74","TOTAL","PC","8.8"
"2000","DK","T","Y15-74","TOTAL","PC","4.5"
"2000","DE","T","Y15-74","TOTAL","PC","7.9"
"2000","EE","T","Y15-74","TOTAL","PC","13.4"
"2000","IE","T","Y15-74","TOTAL","PC","4.3"
"2000","EL","T","Y15-74","TOTAL","PC","11.3"
"2000","ES","T","Y15-74","TOTAL","PC","13.8"
"2000","FR","T","Y15-74","TOTAL","PC","10.2"
"2000","HR","T","Y15-74","TOTAL","PC",":"
"2000","IT","T","Y15-74","TOTAL","PC","10.9"
"2000","CY","T","Y15-74","TOTAL","PC","5.0"
"2000","LV","T","Y15-74","TOTAL","PC","14.2"
"2000","LT","T","Y15-74","TOTAL","PC","16.0"
"2000","LU","T","Y15-74","TOTAL","PC","2.3"
"2000","HU","T","Y15-74","TOTAL","PC","6.6"
"2000","MT","T","Y15-74","TOTAL","PC","6.3"
"2000","NL","T","Y15-74","TOTAL","PC","2.7"
"2000","AT","T","Y15-74","TOTAL","PC","4.7"
"2000","PL","T","Y15-74","TOTAL","PC","16.4"
"2000","PT","T","Y15-74","TOTAL","PC","3.9"
"2000","RO","T","Y15-74","TOTAL","PC","7.1"
"2000","SI","T","Y15-74","TOTAL","PC","6.9"
"2000","SK","T","Y15-74","TOTAL","PC","19.1"
"2000","FI","T","Y15-74","TOTAL","PC","11.1"
"2000","SE","T","Y15-74","TOTAL","PC","5.5"
"2000","UK","T","Y15-74","TOTAL","PC","5.6"
"2000","IS","T","Y15-74","TOTAL","PC","1.9"
"2000","NO","T","Y15-74","TOTAL","PC","3.5"
"2000","CH","T","Y15-74","TOTAL","PC","2.7"
"2000","MK","T","Y15-74","TOTAL","PC",":"
"2000","TR","T","Y15-74","TOTAL","PC",":"
"2001","BE","T","Y15-74","TOTAL","PC","6.2"
"2001","BG","T","Y15-74","TOTAL","PC","19.9"
"2001","CZ","T","Y15-74","TOTAL","PC","8.0"
"2001","DK","T","Y15-74","TOTAL","PC","4.2"
"2001","DE","T","Y15-74","TOTAL","PC","7.8"
"2001","EE","T","Y15-74","TOTAL","PC","13.1"
"2001","IE","T","Y15-74","TOTAL","PC","3.7"
"2001","EL","T","Y15-74","TOTAL","PC","10.5"
"2001","ES","T","Y15-74","TOTAL","PC","10.4"
"2001","FR","T","Y15-74","TOTAL","PC","8.6"
"2001","HR","T","Y15-74","TOTAL","PC",":"
"2001","IT","T","Y15-74","TOTAL","PC","9.6"
"2001","CY","T","Y15-74","TOTAL","PC","4.0"
"2001","LV","T","Y15-74","TOTAL","PC","13.9"
"2001","LT","T","Y15-74","TOTAL","PC","16.9"
"2001","LU","T","Y15-74","TOTAL","PC","1.8"
"2001","HU","T","Y15-74","TOTAL","PC","5.7"
"2001","MT","T","Y15-74","TOTAL","PC","7.1"
"2001","NL","T","Y15-74","TOTAL","PC","2.1"
"2001","AT","T","Y15-74","TOTAL","PC","4.0"
"2001","PL","T","Y15-74","TOTAL","PC","18.4"
"2001","PT","T","Y15-74","TOTAL","PC","3.9"
"2001","RO","T","Y15-74","TOTAL","PC","6.7"
"2001","SI","T","Y15-74","TOTAL","PC","5.7"
"2001","SK","T","Y15-74","TOTAL","PC","19.4"
"2001","FI","T","Y15-74","TOTAL","PC","10.3"
